tabled_Innskudd,tabled_Antall eiere,tabled_Hjuldrift,tabled_1. gang registrert,tabled_Antall seter,tabled_Drivstoff,title,tabled_Antall dører,tabled_Bilen står i,tabled_Reg.nr.,tabled_Salgsform,tabled_Avgiftsklasse,price,tabled_Str. lasterom,tabled_Km.stand,place,tabled_Årsmodell,tabled_CO2 utslipp,tabled_Hjuldriftnavn,tabled_Karosseri,tabled_Årsavgift,tabled_Pris eks omreg,tabled_Vekt,tabled_Girkasse,tabled_Fargebeskrivelse,tabled_Farge,tabled_Omregistrering,id,tabled_Forrige pris,tabled_Effekt,tabled_Sylindervolum,tabled_Interiørfarge
,,Forhjulsdrift,29.07.2009,7,Diesel,Volkswagen Caddy Maxi Life,5,Norge,,Bruktbil til salgs,Personbil,119000,190 l,92000,0668 Oslo,2009,,,Stasjonsvogn,Ikke inklusiv,115340,1 467 kg,Manuell,,Blå,3660,98683777,,105,"1,9 l",
,5,Forhjulsdrift,10.02.2006,5,Diesel,Citroen C5,5,Norge,LY60688,Bruktbil til salgs,Personbil,38660,,175215,1746 Skjeberg,2006,145 g/km,,Stasjonsvogn,Inklusiv,35000,1 442 kg,Manuell,,Svart,3660,98680763,,109,"1,6 l",Grå
,,Firehjulsdrift,11.08.2004,5,Diesel,Nissan X-Trail,5,Norge,KB30790,Bruktbil til salgs,Personbil,16569,,133000,5118 Ulset,2003,,,SUV/Offroad,Inklusiv,15000,1 525 kg,Manuell,,Blå,1569,98681343,,114,"2,2 l",
,2,Forhjulsdrift,17.03.2009,5,Diesel,Ford Fiesta,5,Norge,SU71610,Bruktbil til salgs,Personbil,75114,,75300,5145 Fyllingsdalen,2009,110 g/km,,Kombi 5-dørs,Inklusiv,72500,1 043 kg,Manuell,Mørk blå metallic,Blå,2614,98681675,,75,"1,6 l",grå/svart
,5,Forhjulsdrift,29.12.2006,4,Bensin,Audi TT,2,Norge,KH46492,Bruktbil til salgs,Personbil,111569,,149000,1367 Snarøya,2004,194 g/km,,Coupe,Inklusiv,110000,1 280 kg,Manuell,,Svart,1569,98682624,,180,"1,8 l",Grå
,2,Firehjulsdrift,12.02.2013,5,Diesel,BMW 5-serie,5,Norge,BS63648,Bruktbil til salgs,Personbil,393660,,71000,0282 Oslo,2012,147 g/km,xDrive,Stasjonsvogn,Ikke inklusiv,390000,1 820 kg,Automat,IMPERIALBLAU BRILLANTEFFEKT METALLI (A89),Blå,3660,98680328,,218,2 l,LEDER DAKOTA/DF VENETOBEIGE (LCDF)
,2,Bakhjulsdrift,28.11.2007,5,Diesel,BMW 3-serie,5,Norge,BR57811,Bruktbil til salgs,Personbil,133660,,178000,1166 Oslo,2007,131 g/km,Aluminiumsfelger på sommer- og vinterhjul,Stasjonsvogn,Inklusiv,130000,1 505 kg,Manuell,Sparkling graphit met.,Grå,3660,98660915,,163,2 l,Grå/sort
,7,Forhjulsdrift,15.09.2000,5,Bensin,Volvo,5,Norge,DJ94752,Bruktbil til salgs,Personbil,31569,,379000,4980 Gjerstad,2001,225 g/km,,Stasjonsvogn,Inklusiv,30000,1 536 kg,Manuell,,Sølv,1569,98681191,,180,2 l,
,4,Forhjulsdrift,26.03.2003,5,Bensin,Saab 9-5,5,Norge,DK57147,Bruktbil til salgs,Personbil,8569,,282000,2335 Stange,2003,251 g/km,,Stasjonsvogn,Ikke inklusiv,7000,1 620 kg,Automat,,Sølv,1569,98651490,,150,2 l,Svart
,1,Forhjulsdrift,17.10.2013,7,Diesel,Volkswagen Sharan,5,Norge,,Bruktbil til salgs,Personbil,438660,300 l,55195,1356 Bekkestua,2013,149 g/km,Bluemotion (2WD),Stasjonsvogn,Inklusiv,435000,1 776 kg,Automat,VW Silver Leaf Metallic,Sølv,3660,96445234,,140,2 l,Grå
